"Accident_Index","Location_Easting_OSGR ","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_(District)","Local_Authority_(Highway)","1st_Road_Class","1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","2nd_Road_Class","2nd_Road_Number","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location"
"2013120199264","460077","451137","-1.0860080000000001","53.952849000000001","12","3","2","1","2013-11-16","7","22:35:00.0000000","189","E06000014","6","7010","6","30","3","4","6","7010","0","0","4","1","1","0","0","1","1","E01013416"
"2013120200060","460108","452226","-1.085321","53.962631999999999","12","2","1","1","2013-11-18","2","09:40:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","5","1","1","1","0","0","1","1","E01013366"
"2013120200366","460155","450389","-1.084967","53.946117999999998","12","3","2","1","2013-11-18","2","16:59:00.0000000","189","E06000014","6","4811","6","20","6","4","6","4811","0","0","4","1","1","0","0","1","1","E01013414"
"2013120200434","458563","453794","-1.1085670000000001","53.976900000000001","12","2","1","1","2013-11-18","2","19:15:00.0000000","189","E06000014","3","19","6","40","0","-1","-1","0","0","8","4","1","2","0","0","1","1","E01013434"
"2013120201286","460457","451750","-1.0800970000000001","53.958314000000001","12","3","1","1","2013-11-19","3","15:55:00.0000000","189","E06000014","6","7210","6","30","7","4","6","7210","0","0","1","1","1","0","0","1","2","E01033070"
"2013120201384","457454","450558","-1.126082","53.947943000000002","12","3","1","1","2013-11-20","4","13:27:00.0000000","189","E06000014","5","413","6","20","0","-1","-1","0","0","8","1","2","2","0","0","1","1","E01013447"
"2013120201654","462218","457797","-1.0520290000000001","54.012447000000002","12","3","1","4","2013-11-20","4","21:20:00.0000000","189","E06000014","5","90","6","60","0","-1","-1","0","0","0","6","2","2","0","0","2","1","E01013436"
"2013120201694","458028","451434","-1.1171709999999999","53.955751999999997","12","2","1","1","2013-11-20","4","00:29:00.0000000","189","E06000014","4","1224","6","30","3","4","6","5710","0","8","4","1","2","0","0","1","1","E01013396"
"2013120202449","456438","456839","-1.1403989999999999","54.004500999999998","12","3","4","1","2013-11-22","6","11:18:00.0000000","189","E06000014","3","19","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013430"
"2013120202738","459826","451560","-1.08975","53.956679000000001","12","3","1","1","2013-11-19","3","19:00:00.0000000","189","E06000014","6","7110","6","30","0","-1","-1","0","0","0","4","2","2","0","0","1","2","E01033068"
"2013120203130","458266","454068","-1.1130420000000001","53.979396000000001","12","3","2","4","2013-11-23","7","11:35:00.0000000","189","E06000014","3","19","6","40","0","-1","-1","0","0","8","1","1","2","0","0","1","1","E01013434"
"2013120203181","460232","451928","-1.0834900000000001","53.959940000000003","12","3","2","1","2013-11-20","4","08:30:00.0000000","189","E06000014","6","7210","2","30","0","-1","-1","0","0","0","1","1","1","0","0","1","2","E01013366"
"2013120203183","459981","451924","-1.0873159999999999","53.959932999999999","12","3","2","1","2013-11-20","4","19:30:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","0","4","2","2","0","0","1","2","E01033068"
"2013120203410","462845","454822","-1.0430759999999999","53.985636","12","3","2","1","2013-11-22","6","12:40:00.0000000","189","E06000014","5","416","6","30","3","4","6","0","0","0","1","1","1","0","0","1","2","E01013409"
