Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2011120059071,1,1,1,1,16,4,3,0,0,0,0,0,2,-1,
2011120059071,2,2,1,2,43,7,3,0,0,0,0,0,9,1,
2011120059277,2,1,1,1,18,4,3,0,0,0,0,0,1,1,
2011120060903,2,1,1,1,56,9,3,0,0,0,0,0,9,3,
2011120060903,2,2,2,2,12,3,3,0,0,1,0,0,9,3,
2011120061257,1,1,1,1,37,7,3,0,0,0,0,0,9,2,
2011120061257,2,2,1,2,73,10,3,0,0,0,0,0,9,2,
2011120061380,1,1,1,1,54,8,3,0,0,0,0,0,2,1,
2011120061579,2,1,1,2,27,6,3,0,0,0,0,0,1,-1,
2011120062139,1,3,2,1,75,10,3,0,0,2,0,0,9,1,
2011120062139,2,1,1,2,41,7,3,0,0,0,0,0,9,1,
2011120062139,2,2,2,1,12,3,3,0,0,1,0,0,9,1,
2011120062736,1,1,1,2,39,7,3,0,0,0,0,0,9,2,
2011120063613,2,1,1,2,56,9,3,0,0,0,0,0,3,-1,
2011120063748,1,1,1,2,49,8,3,0,0,0,0,0,9,2,
2011120063766,1,1,1,2,54,8,3,0,0,0,0,0,3,1,
2011120063931,1,1,1,1,41,7,3,0,0,0,0,0,19,3,
2011120063931,2,2,1,1,33,6,3,0,0,0,0,0,19,1,
2011120064333,1,1,1,2,40,7,3,0,0,0,0,0,9,1,
2011120064473,2,1,1,1,34,6,3,0,0,0,0,0,3,1,
2011120065854,1,1,2,2,12,3,3,0,0,1,0,0,9,1,
2011120065854,1,2,2,2,12,3,3,0,0,2,0,0,9,1,
2011120065854,1,3,1,2,47,8,3,0,0,0,0,0,9,1,
2011120066284,2,1,2,2,45,7,3,0,0,1,0,0,9,1,
2011120066284,4,2,1,2,38,7,3,0,0,0,0,0,9,-1,
2011120066284,4,3,2,1,20,4,3,0,0,1,0,0,9,-1,
2011120067958,1,1,1,2,45,7,3,0,0,0,0,0,9,1,
2011120067958,1,2,2,2,66,10,3,0,0,1,0,0,9,1,
2011120067959,1,1,2,2,80,11,3,0,0,1,0,0,9,1,
2011120069364,2,1,1,1,54,8,2,0,0,0,0,0,1,3,
2011120069759,1,1,3,2,80,11,3,10,9,0,0,0,0,-1,
2011120069936,1,1,1,1,18,4,3,0,0,0,0,0,3,1,
2011120070336,1,1,1,1,16,4,3,0,0,0,0,0,2,1,
2011120071406,2,1,1,1,54,8,3,0,0,0,0,0,1,1,
2011120071939,1,1,1,1,31,6,3,0,0,0,0,0,1,2,
2011120072023,2,1,1,1,10,2,3,0,0,0,0,0,1,1,
2011120072391,1,1,1,2,29,6,3,0,0,0,0,0,9,-1,
2011120073195,1,1,1,1,73,10,3,0,0,0,0,0,9,2,
2011120074613,2,1,1,1,21,5,3,0,0,0,0,0,9,-1,
2011120074613,2,2,2,2,20,4,3,0,0,1,0,0,9,1,
2011120074633,1,1,1,1,17,4,3,0,0,0,0,0,1,1,
2011120075362,2,1,1,2,30,6,3,0,0,0,0,0,1,1,
2011120076669,1,1,3,2,15,3,3,9,8,0,0,0,0,1,
2011120077218,1,1,1,2,22,5,3,0,0,0,0,0,9,1,
2011120077218,2,2,1,1,56,9,3,0,0,0,0,0,9,3,
2011120077274,1,1,1,2,40,7,3,0,0,0,0,0,9,1,
2011120077286,2,1,1,2,46,8,3,0,0,0,0,0,1,2,
2011120077313,1,1,1,1,26,6,3,0,0,0,0,0,9,-1,
2011120077313,2,2,1,2,46,8,3,0,0,0,0,0,9,1,
2011120077313,2,3,2,1,34,6,3,0,0,1,0,0,9,1,
2011120077313,2,4,2,2,9,2,3,0,0,2,0,0,9,1,
2011120077313,2,5,2,2,12,3,3,0,0,2,0,0,9,1,
2011120077799,2,1,1,1,89,11,3,0,0,0,0,0,9,2,
2011120077799,3,2,1,2,27,6,3,0,0,0,0,0,9,1,
2011120077800,1,1,3,1,40,7,3,10,9,0,0,0,0,-1,
2011120079262,1,1,1,2,27,6,3,0,0,0,0,0,4,1,
2011120079333,1,1,1,1,21,5,3,0,0,0,0,0,9,1,
2011120080330,1,1,1,1,27,6,3,0,0,0,0,0,5,1,
2011120080604,2,1,1,1,17,4,3,0,0,0,0,0,3,2,
2011120081436,1,1,2,2,12,3,3,0,0,2,0,0,9,-1,
2011120081436,2,2,1,2,36,7,3,0,0,0,0,0,9,-1,
2011120081534,2,1,1,1,66,10,3,0,0,0,0,0,1,2,
2011120082960,1,1,3,2,25,5,3,1,1,0,0,0,0,1,
2011120083846,1,1,3,1,70,10,3,5,3,0,0,2,0,1,
2011120083848,1,1,3,1,90,11,3,5,3,0,0,0,0,-1,
2011120084404,1,1,1,1,81,11,1,0,0,0,0,0,9,-1,
2011120084404,2,2,1,1,48,8,3,0,0,0,0,0,21,2,
2011120084984,2,1,1,1,39,7,3,0,0,0,0,0,1,1,
2011120085055,1,1,1,1,84,11,2,0,0,0,0,0,2,1,
2011120085254,1,1,3,1,19,4,3,5,1,0,0,0,0,-1,
2011120085341,2,1,1,1,18,4,3,0,0,0,0,0,9,1,
2011120086096,2,1,1,2,34,6,2,0,0,0,0,0,1,1,
2011120086385,2,1,1,2,23,5,3,0,0,0,0,0,9,1,
2011120086468,2,1,1,2,16,4,3,0,0,0,0,0,1,2,
2011120086524,1,1,2,2,42,7,3,0,0,1,0,0,9,2,
2011120086524,1,2,2,2,20,4,3,0,0,2,0,0,9,2,
2011120086524,2,3,2,2,70,10,3,0,0,1,0,0,9,-1,
2011120087441,2,1,1,1,69,10,3,0,0,0,0,0,9,2,
2011120087798,2,1,1,2,57,9,3,0,0,0,0,0,1,1,
2011120087853,2,1,1,1,20,4,3,0,0,0,0,0,1,1,
2011120088344,1,1,2,2,29,6,3,0,0,1,0,0,9,1,
2011120088344,1,2,2,2,9,2,3,0,0,2,0,0,9,1,
2011120088344,1,3,2,2,6,2,3,0,0,2,0,0,9,1,
2011120090436,2,1,1,2,31,6,3,0,0,0,0,0,5,1,
2011120091655,2,2,2,1,8,2,3,0,0,2,0,0,9,1,
2011120091655,2,3,2,2,11,3,3,0,0,2,0,0,9,1,
2011120091655,3,1,2,2,30,6,3,0,0,2,0,0,9,1,
2011120092275,2,1,1,1,29,6,3,0,0,0,0,0,1,1,
2011120092315,1,1,1,1,66,10,3,0,0,0,0,0,9,3,
2011120092315,1,3,2,2,67,10,3,0,0,1,0,0,9,1,
2011120092315,2,2,1,1,45,7,3,0,0,0,0,0,9,1,
2011120092451,1,1,1,1,43,7,3,0,0,0,0,0,21,-1,
2011120092451,2,2,2,1,36,7,3,0,0,1,0,0,9,1,
2011120092537,1,1,3,1,65,9,3,6,8,0,0,0,0,3,
2011120092635,2,1,1,1,36,7,2,0,0,0,0,0,3,-1,
2011120092734,2,1,1,2,56,9,3,0,0,0,0,0,9,1,
2011120092955,2,1,1,1,20,4,3,0,0,0,0,0,1,-1,
2011120093164,2,1,1,1,45,7,3,0,0,0,0,0,1,-1,
2011120093178,2,1,1,2,22,5,3,0,0,0,0,0,9,2,
2011120093239,1,1,1,1,44,7,3,0,0,0,0,0,9,2,
2011120093239,2,2,1,2,20,4,3,0,0,0,0,0,9,1,
2011120093405,1,1,1,2,40,7,3,0,0,0,0,0,9,3,
2011120094633,4,1,1,1,35,6,3,0,0,0,0,0,9,-1,
2011120095083,1,1,1,1,20,4,3,0,0,0,0,0,3,1,
2011120095083,2,2,1,1,40,7,3,0,0,0,0,0,1,-1,
2011120095104,2,1,1,1,18,4,3,0,0,0,0,0,2,1,
2011120095325,2,1,1,1,15,3,3,0,0,0,0,0,1,1,
2011120096771,1,1,1,1,20,4,3,0,0,0,0,0,9,3,
2011120096965,1,1,1,1,30,6,3,0,0,0,0,0,3,3,
2011120097647,2,1,1,2,48,8,3,0,0,0,0,0,1,-1,
2011120097942,1,1,1,1,30,6,3,0,0,0,0,0,9,1,
2011120097947,2,1,1,1,32,6,3,0,0,0,0,0,1,1,
2011120099033,2,1,1,1,40,7,3,0,0,0,0,0,1,-1,
2011120099622,2,1,1,1,16,4,3,0,0,0,0,0,2,1,
2011120100358,1,1,3,1,41,7,3,5,3,0,0,0,0,1,
2011120100698,2,1,1,1,60,9,3,0,0,0,0,0,9,1,
2011120100895,1,1,1,2,41,7,3,0,0,0,0,0,9,3,
2011120100895,2,2,1,2,51,8,3,0,0,0,0,0,9,1,
2011120100895,2,4,2,1,10,2,3,0,0,1,0,0,9,1,
2011120100895,3,3,1,2,44,7,3,0,0,0,0,0,9,1,
2011120100933,1,1,3,1,4,1,3,5,2,0,0,2,0,1,
2011120101176,1,1,1,2,22,5,3,0,0,0,0,0,9,1,
2011120101823,1,1,3,2,60,9,3,5,1,0,0,2,0,1,
2011120102147,1,1,1,2,29,6,3,0,0,0,0,0,9,1,
2011120102147,2,2,1,2,24,5,3,0,0,0,0,0,9,-1,
2011120102147,3,3,1,1,36,7,3,0,0,0,0,0,9,1,
2011120102147,3,4,2,2,27,6,3,0,0,1,0,0,9,1,
2011120104181,1,1,3,1,30,6,3,5,1,0,0,2,0,1,
2011120105982,1,1,1,2,27,6,3,0,0,0,0,0,1,1,
2011120106428,2,1,1,1,88,11,3,0,0,0,0,0,9,-1,
2011120106646,1,1,1,2,49,8,2,0,0,0,0,0,9,2,
2011120107831,1,1,3,2,12,3,3,4,2,0,0,2,0,1,
2011120108054,1,1,1,2,25,5,3,0,0,0,0,0,9,1,
2011120110304,2,1,1,2,32,6,3,0,0,0,0,0,1,-1,
2011120110650,1,1,3,1,10,2,3,5,1,0,0,2,0,-1,
2011120110999,2,1,1,1,41,7,3,0,0,0,0,0,1,3,
2011120111421,1,1,1,1,78,11,3,0,0,0,0,0,1,-1,
2011120111551,2,1,1,1,28,6,3,0,0,0,0,0,1,-1,
2011120111846,2,1,1,1,17,4,3,0,0,0,0,0,2,1,
2011120111903,2,1,1,1,34,6,3,0,0,0,0,0,3,2,
2011120112384,1,1,1,1,81,11,3,0,0,0,0,0,9,-1,
2011120112423,2,1,2,1,55,8,3,0,0,2,0,0,9,-1,
2011120112657,2,1,1,1,43,7,3,0,0,0,0,0,9,1,
2011120112922,1,1,1,2,42,7,3,0,0,0,0,0,5,1,
2011120113078,1,1,1,1,55,8,3,0,0,0,0,0,9,3,
2011120113078,2,2,1,1,80,11,3,0,0,0,0,0,9,1,
2011120113702,1,1,1,1,20,4,3,0,0,0,0,0,9,1,
2011120113702,1,3,2,1,18,4,3,0,0,1,0,0,9,1,
2011120113702,2,2,1,1,42,7,3,0,0,0,0,0,9,3,
2011120114083,1,1,3,1,40,7,3,5,1,0,0,0,0,1,
2011120114157,1,2,2,2,50,8,3,0,0,2,0,0,8,-1,
2011120114157,2,1,1,1,27,6,2,0,0,0,0,0,9,1,
2011120114408,2,1,1,1,22,5,3,0,0,0,0,0,1,1,
2011120114638,1,1,1,1,23,5,3,0,0,0,0,0,9,1,
2011120116068,2,1,1,1,28,6,3,0,0,0,0,0,1,1,
2011120116333,1,1,1,1,24,5,3,0,0,0,0,0,1,-1,
2011120117074,1,1,1,2,51,8,2,0,0,0,0,0,9,2,
2011120117074,2,2,1,1,42,7,3,0,0,0,0,0,9,2,
2011120118259,2,1,1,1,35,6,3,0,0,0,0,0,1,-1,
2011120118785,2,1,1,2,38,7,3,0,0,0,0,0,1,1,
2011120119093,1,1,3,2,23,5,3,5,1,0,0,2,0,1,
2011120119385,1,1,1,1,41,7,3,0,0,0,0,0,9,1,
2011120119385,2,2,1,1,45,7,3,0,0,0,0,0,9,2,
2011120119753,2,1,1,1,27,6,3,0,0,0,0,0,1,1,
2011120119841,1,1,1,1,25,5,2,0,0,0,0,0,9,1,
2011120119841,2,2,1,1,56,9,3,0,0,0,0,0,9,2,
2011120120198,2,1,1,1,16,4,3,0,0,0,0,0,2,-1,
2011120121115,1,1,1,2,50,8,3,0,0,0,0,0,2,2,
2011120121927,2,1,1,1,53,8,2,0,0,0,0,0,1,1,
2011120121942,2,1,1,1,46,8,3,0,0,0,0,0,8,1,
2011120123001,1,1,1,1,48,8,3,0,0,0,0,0,9,-1,
2011120123001,2,2,2,2,44,7,3,0,0,1,0,0,9,-1,
2011120123001,2,3,2,2,17,4,3,0,0,1,0,0,9,-1,
2011120123555,1,1,1,2,28,6,3,0,0,0,0,0,9,1,
2011120123555,2,2,1,1,36,7,3,0,0,0,0,0,5,1,
2011120124178,2,1,1,1,22,5,3,0,0,0,0,0,4,1,
2011120124266,2,1,1,1,36,7,3,0,0,0,0,0,9,3,
2011120124437,1,1,1,2,39,7,2,0,0,0,0,0,1,1,
2011120124553,2,1,1,1,22,5,3,0,0,0,0,0,1,1,
2011120124808,1,1,1,1,17,4,3,0,0,0,0,0,3,1,
2011120125061,1,1,3,2,11,3,3,9,5,0,0,0,0,-1,
2011120126959,1,1,3,2,48,8,3,5,3,0,0,2,0,2,
2011120127591,2,1,1,2,34,6,3,0,0,0,0,0,1,1,
2011120128378,1,1,1,2,23,5,3,0,0,0,0,0,9,1,
2011120129103,1,1,1,1,27,6,3,0,0,0,0,0,2,1,
2011120129804,1,1,1,1,54,8,3,0,0,0,0,0,9,3,
2011120130266,2,1,1,1,38,7,3,0,0,0,0,0,19,2,
