"Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Po_of_Impact","Was_Vehicle_Left_Hand_Drive?","Journey_Purpose_of_Driver","Sex_of_Driver","Age_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","Vehicle_IMD_Decile"
"2012120035270","1","9","0","3","0","0","0","0","0","0","0","1","5","1","30","6","1997","2","5","-1","-1",""
"2012120035270","2","9","0","3","0","0","0","0","0","0","1","1","5","1","30","6","1598","1","9","7","1",""
"2012120035270","3","19","0","4","0","0","0","0","0","0","1","1","5","1","30","6","1868","2","7","6","1",""
"2012120035270","4","9","0","4","0","0","0","0","0","0","1","1","5","2","30","6","1968","2","4","7","1",""
"2012120036402","1","9","0","9","0","8","0","0","0","0","3","1","5","1","87","11","2496","1","5","10","2",""
"2012120036402","2","9","0","18","0","8","0","0","0","0","1","1","5","1","18","4","973","1","11","8","2",""
"2012120036525","1","9","0","18","0","1","0","0","0","0","1","1","5","2","24","5","1299","1","13","7","1",""
"2012120036525","2","1","0","7","0","6","0","0","0","0","1","1","5","2","18","4","-1","-1","-1","7","1",""
"2012120036531","1","9","0","18","0","1","0","0","0","0","1","1","5","1","57","9","1995","2","8","4","1",""
"2012120036840","1","9","0","18","0","1","0","0","0","0","1","1","2","1","46","8","1598","1","7","3","1",""
"2012120036840","2","9","0","16","0","7","1","0","2","7","4","1","2","2","37","7","1997","2","9","9","3",""
"2012120038220","1","9","0","18","0","0","0","0","0","0","1","1","5","2","22","5","1868","2","12","1","1",""
"2012120039323","1","9","0","18","0","0","0","0","0","0","0","1","5","2","40","7","973","1","14","6","1",""
"2012120039323","2","9","0","2","0","0","0","0","0","0","0","1","5","2","32","6","1910","2","6","9","1",""
"2012120039632","1","8","0","18","0","0","0","0","0","0","1","1","1","1","46","8","1997","2","8","1","1",""
"2012120040243","1","9","0","9","0","1","0","0","0","0","3","1","5","2","18","4","1461","2","8","10","1",""
"2012120040243","2","1","0","18","0","1","0","0","0","0","1","1","2","1","35","6","-1","-1","-1","4","1",""
"2012120040481","1","9","0","10","0","4","0","0","0","0","4","1","5","2","60","9","1998","1","6","7","1",""
"2012120040481","2","1","0","10","0","4","0","0","0","0","3","1","1","2","42","7","-1","-1","-1","3","1",""
"2012120041325","1","9","0","18","0","0","0","0","7","0","1","1","5","1","82","11","1992","2","6","10","2",""
"2012120041349","1","9","0","18","0","1","0","0","0","0","2","1","1","1","42","7","-1","-1","-1","-1","1",""
"2012120041349","2","5","0","18","0","1","0","0","0","0","1","1","5","1","50","8","599","1","11","9","3",""
"2012120041349","3","19","0","10","0","1","0","0","0","0","0","1","1","1","34","6","-1","-1","-1","9","2",""
"2012120041369","1","9","0","18","0","8","0","0","0","0","1","1","6","1","33","6","1296","1","5","4","1",""
"2012120041369","2","1","0","18","0","8","0","0","0","0","4","1","6","2","82","11","-1","-1","-1","5","1",""
"2012120043625","1","9","0","7","0","6","0","0","0","0","1","1","3","2","40","7","1596","1","9","9","2",""
"2012120043625","2","1","0","18","0","8","0","0","0","0","4","1","6","2","40","7","-1","-1","-1","10","1",""
"2012120043916","1","2","0","9","0","8","0","0","0","0","3","1","6","1","16","4","49","1","1","7","1",""
"2012120043916","2","9","0","18","0","8","0","0","0","0","1","1","6","1","60","9","1389","1","17","7","1",""
"2012120044140","1","9","0","5","0","8","0","0","0","0","1","1","5","1","82","11","973","1","14","9","1",""
"2012120044140","2","2","0","18","0","1","0","0","0","0","4","1","5","1","16","4","49","1","12","6","1",""
"2012120044502","1","9","0","15","0","1","0","0","1","0","1","1","5","1","85","11","1910","2","7","9","1",""
"2012120044502","2","9","0","3","0","2","0","0","0","0","0","1","5","2","45","7","1587","1","7","8","1",""
"2012120044528","1","9","0","18","0","0","0","0","0","0","1","1","5","1","56","9","1998","1","10","-1","-1",""
"2012120047949","1","9","0","9","0","1","0","0","0","0","1","1","5","2","20","4","1360","1","5","9","1",""
"2012120047949","2","9","0","18","0","1","0","0","0","0","4","1","5","1","48","8","1242","1","4","2","1",""
"2012120048060","1","9","0","18","0","0","0","0","0","0","1","1","5","1","18","4","998","1","12","10","3",""
"2012120048060","2","1","0","18","0","0","0","0","0","0","1","1","5","1","10","2","-1","-1","-1","10","2",""
"2012120048342","1","11","0","18","0","1","0","0","0","0","4","1","1","1","61","9","7300","2","4","1","1",""
"2012120049062","1","3","0","9","0","6","0","0","0","0","1","1","5","1","18","4","124","1","3","5","1",""
"2012120049062","2","9","0","18","0","1","0","0","0","0","1","1","1","2","18","4","1461","2","3","3","1",""
"2012120049062","3","8","0","18","0","1","0","0","0","0","1","1","1","1","62","9","1997","2","4","9","1",""
"2012120049231","1","9","0","3","0","1","0","0","0","0","3","1","1","1","22","5","1679","1","12","8","1",""
"2012120049231","2","1","0","18","0","1","0","0","0","0","1","1","6","1","58","9","-1","-1","-1","8","2",""
"2012120049400","1","9","0","7","0","8","0","0","0","0","2","1","5","2","22","5","1598","1","10","3","1",""
"2012120049400","2","1","0","7","0","8","0","0","0","0","1","1","5","1","29","6","-1","-1","-1","6","1",""
"2012120050110","1","19","0","18","0","0","0","12","0","0","1","1","2","1","39","7","1998","2","7","9","2",""
"2012120050376","1","9","0","13","0","1","0","0","0","0","1","1","5","2","66","10","1398","1","1","-1","-1",""
"2012120050376","2","9","0","6","0","1","0","0","0","0","3","1","1","1","34","6","-1","-1","-1","2","1",""
"2012120050713","1","10","0","18","0","1","0","0","0","0","1","1","1","1","53","8","-1","-1","-1","4","1",""
"2012120050713","2","1","0","9","0","1","0","0","0","0","3","1","6","2","28","6","-1","-1","-1","8","1",""
"2012120051212","1","11","0","4","0","1","0","0","0","0","0","1","1","1","29","6","-1","-1","-1","2","1",""
"2012120052494","1","19","0","8","0","1","0","0","0","0","2","1","1","1","61","9","1686","2","10","10","1",""
"2012120052494","2","9","0","8","0","1","0","0","0","0","1","1","1","2","61","9","1329","1","1","10","1",""
"2012120053753","1","9","0","18","0","0","0","0","1","0","1","1","5","1","42","7","2477","2","19","9","3",""
"2012120054058","1","9","0","18","0","1","0","0","1","0","3","1","1","1","31","6","1108","1","12","9","1",""
"2012120054058","2","9","0","9","0","2","0","0","1","0","1","1","5","1","18","4","1198","1","6","2","1",""
"2012120054677","1","1","0","18","0","0","0","0","0","0","1","1","2","1","46","8","-1","-1","-1","7","1",""
"2012120054677","2","9","0","18","0","0","0","0","0","0","3","1","5","1","65","9","1389","1","15","10","1",""
"2012120055290","1","9","0","18","0","0","0","0","0","0","1","1","5","2","54","8","1339","1","1","6","2",""
"2012120055290","2","9","0","10","0","0","0","0","0","0","2","1","4","2","68","10","1598","1","1","-1","-1",""
"2012120055335","1","9","0","3","0","0","0","0","0","0","1","1","5","2","50","8","1390","1","7","7","1",""
"2012120055335","2","3","0","3","0","0","0","0","0","0","2","1","5","1","20","4","124","1","23","3","1",""
"2012120055354","1","9","0","18","0","4","0","0","0","0","2","1","5","2","28","6","1396","1","11","8","1",""
"2012120055354","2","9","0","18","0","4","0","0","0","0","1","1","5","1","46","8","1242","1","11","5","1",""
"2012120055853","1","1","0","18","4","8","0","0","0","0","1","1","6","1","17","4","-1","-1","-1","7","3",""
"2012120055853","2","19","0","7","0","8","0","0","0","0","4","1","6","1","30","6","-1","-1","-1","-1","-1",""
"2012120057163","1","9","0","3","0","0","0","0","0","0","1","1","5","2","30","6","1598","1","12","-1","-1",""
"2012120057163","2","9","0","18","0","0","0","0","0","0","2","1","2","1","60","9","-1","-1","-1","9","1",""
"2012120057316","1","11","0","9","0","8","0","0","0","0","3","1","1","1","33","6","7300","2","7","8","1",""
"2012120057800","1","9","0","18","0","4","0","0","0","0","1","1","1","2","36","7","1587","1","7","8","1",""
"2012120057800","2","1","0","5","0","4","0","0","0","0","2","1","5","1","17","4","-1","-1","-1","9","1",""
"2012120058762","1","9","0","18","0","4","0","0","0","0","2","1","1","1","38","7","1587","1","7","2","1",""
"2012120058762","2","9","0","18","0","4","0","0","0","0","1","1","5","1","51","8","1798","1","11","2","1",""
"2012120060097","1","22","0","1","0","0","0","0","0","0","3","1","1","1","31","6","-1","-1","-1","6","1",""
"2012120060984","1","9","0","18","0","0","0","0","0","0","1","1","6","2","64","9","-1","-1","-1","9","1",""
"2012120060984","2","9","0","18","0","0","0","0","0","0","1","1","6","2","29","6","1587","1","7","10","1",""
"2012120061106","1","3","0","18","0","0","0","0","0","0","1","1","5","1","29","6","100","1","8","2","1",""
"2012120061106","2","9","0","18","0","0","0","0","0","0","1","1","1","1","27","6","-1","-1","-1","8","2",""
"2012120062162","1","9","0","4","0","4","0","0","0","0","2","1","6","1","54","8","1560","2","3","7","1",""
"2012120062162","2","9","0","4","0","4","0","0","0","0","1","1","6","2","82","11","1242","1","10","10","2",""
"2012120062343","1","2","0","18","0","0","1","0","0","0","0","1","2","2","30","6","49","1","3","4","1",""
"2012120062343","2","11","0","18","0","0","0","0","0","0","0","1","1","1","30","6","7300","2","10","10","1",""
"2012120063277","1","9","0","4","0","2","0","0","0","0","1","1","2","2","72","10","1398","1","4","10","2",""
"2012120063277","2","1","0","18","0","6","0","0","0","0","3","1","5","1","40","7","-1","-1","-1","4","1",""
"2012120065375","1","1","0","18","0","2","0","0","0","0","1","1","6","1","21","5","-1","-1","-1","6","1",""
"2012120065375","2","9","0","3","0","2","0","0","0","0","2","1","1","2","21","5","998","1","15","9","1",""
"2012120066960","1","19","0","9","0","1","1","0","0","0","1","1","5","1","17","4","-1","-1","-1","2","1",""
"2012120066960","2","19","0","2","0","2","0","0","0","0","3","1","1","2","30","6","1995","2","1","8","1",""
"2012120066979","1","9","0","17","0","0","0","0","1","0","1","1","6","1","33","6","1686","2","12","-1","-1",""
"2012120066979","2","9","0","17","0","0","0","0","0","0","0","1","1","1","46","8","2993","2","3","8","2",""
"2012120066979","3","9","0","2","0","0","0","0","0","0","2","1","6","1","45","7","1997","2","10","10","1",""
"2012120066979","4","9","0","2","0","0","0","0","0","0","1","1","6","1","41","7","1769","1","9","-1","-1",""
"2012120068644","1","9","0","4","0","8","0","0","0","0","1","1","6","2","63","9","1796","1","4","8","2",""
"2012120068644","2","1","0","9","0","8","0","0","0","0","4","1","6","1","46","8","-1","-1","-1","9","1",""
"2012120068717","1","9","0","18","0","0","0","0","0","0","1","1","2","1","28","6","1796","1","11","1","1",""
"2012120069440","1","9","0","18","0","0","0","0","0","0","1","1","5","1","20","4","1124","1","10","10","3",""
"2012120070173","1","9","0","7","0","8","0","0","0","0","4","1","2","2","30","6","1598","1","5","5","1",""
"2012120070173","2","1","0","18","0","8","0","0","0","0","1","1","2","1","49","8","-1","-1","-1","10","1",""
"2012120070611","1","8","0","18","0","0","0","0","0","0","1","1","1","1","31","6","2148","2","7","2","1",""
"2012120071146","1","9","0","3","0","1","0","0","0","0","1","1","6","1","83","11","1795","1","13","-1","-1",""
"2012120071146","2","9","0","3","0","1","0","0","0","0","2","1","6","1","68","10","1997","2","7","10","1",""
"2012120071194","1","9","0","4","7","2","0","0","0","0","4","1","6","1","40","7","2401","2","3","8","1",""
"2012120071583","1","9","0","6","0","0","0","0","0","0","1","1","6","1","35","6","1896","2","10","4","1",""
"2012120071583","2","4","0","18","0","0","0","0","0","0","2","1","6","1","71","10","249","1","7","6","1",""
"2012120072266","1","5","0","9","0","6","0","0","3","10","1","1","5","2","45","7","649","1","3","-1","-1",""
"2012120072346","1","1","0","18","0","8","0","0","0","0","4","1","6","1","14","3","-1","-1","-1","6","1",""
"2012120072346","2","9","0","18","0","3","0","0","0","0","1","1","5","1","29","6","1398","2","3","5","1",""
"2012120072695","1","9","0","18","0","0","0","10","8","11","1","1","2","1","35","6","1910","2","4","-1","-1",""
